"Domain","Function","Process_Id","Thread_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,94,3219595912125446,3219595912126633
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,95,3219595912132146,3219595912132518
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,96,3219595912133739,3219595912142104
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,97,3219595912143153,3219595912143272
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,98,3219595912145726,3219595912152706
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,99,3219595912153313,3219595912153364
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,100,3219595912158579,3219595912158648
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,101,3219595912159182,3219595912161004
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,102,3219595912161924,3219595912161985
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,103,3219595912163347,3219595912170618
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,104,3219595912171078,3219595912171128
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,105,3219595912172986,3219595912173053
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,106,3219595912173470,3219595912175109
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,107,3219595912175525,3219595912175584
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,108,3219595912176247,3219595912180374
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,109,3219595912180786,3219595912180832
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,110,3219595912181858,3219595912181923
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,111,3219595912182377,3219595912184050
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,112,3219595912184473,3219595912184534
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,113,3219595912185167,3219595912188775
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,114,3219595912189367,3219595912189416
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,115,3219595912190985,3219595912191052
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,116,3219595912191441,3219595912193035
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,117,3219595912193961,3219595912194020
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,118,3219595912196679,3219595912551449
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,119,3219595912553042,3219595912553182
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,120,3219595912555161,3219595912555335
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,121,3219595912555969,3219595912558850
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,122,3219595912559622,3219595912559700
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,123,3219595912561109,3219595912576130
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,124,3219595912576771,3219595912576833
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,125,3219595912578033,3219595912578097
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,126,3219595912578560,3219595912580289
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,127,3219595912580788,3219595912580854
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,128,3219595912581519,3219595912586299
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,129,3219595912586974,3219595912587023
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,130,3219595912588844,3219595912588915
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,131,3219595912589528,3219595912591175
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,132,3219595912591894,3219595912591961
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,133,3219595912593035,3219595912598260
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,134,3219595912599042,3219595912599088
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,135,3219595912600060,3219595912600130
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,136,3219595912602609,3219595912653265
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,137,3219595912655798,3219595912655912
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,138,3219595912656360,3219595912657769
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,139,3219595912658267,3219595912658329
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,140,3219595912658925,3219595912663863
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,141,3219595912666419,3219595912666528
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,142,3219595912667089,3219595912667160
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,143,3219595912667568,3219595912678900
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,144,3219595912680699,3219595912680767
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,145,3219595912681216,3219595912682652
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,146,3219595912683885,3219595912683949
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,147,3219595912684704,3219595912692875
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,148,3219595912693679,3219595912693747
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,149,3219595912694133,3219595912698025
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,150,3219595912698938,3219595912699007
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,151,3219595912699431,3219595912702842
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,152,3219595912703653,3219595912703754
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,153,3219595912704159,3219595912708754
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,154,3219595912709267,3219595912709335
"HIP_RUNTIME_API_EXT","hipMemcpy",2659034,2659034,155,3219595912709700,3219595912713488
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,156,3219595912715147,3219595912715219
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,157,3219595912715765,3219595912718794
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,158,3219595912719353,3219595912719418
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,159,3219595912721423,3219595912727116
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,160,3219595912727748,3219595912727796
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,161,3219595912728888,3219595912728950
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,162,3219595912729371,3219595912730953
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,163,3219595912731532,3219595912731600
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,164,3219595912733960,3219595912738987
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,165,3219595912739592,3219595912739640
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,166,3219595912741944,3219595912742014
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,167,3219595912742410,3219595912752976
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,168,3219595912754496,3219595912754561
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,169,3219595912754933,3219595912756153
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,170,3219595912756615,3219595912756675
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,171,3219595912757433,3219595912762174
"HIP_RUNTIME_API_EXT","hipGetLastError",2659034,2659034,172,3219595912762784,3219595912762833
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,173,3219595912764201,3219595912764268
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,174,3219595912764686,3219595912790073
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,175,3219595912790577,3219595912790639
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,176,3219595912790996,3219595912792543
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,177,3219595912792965,3219595912793028
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,178,3219595912793679,3219595912796274
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,179,3219595912796746,3219595912796807
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,180,3219595912797212,3219595912798653
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,181,3219595912799087,3219595912799145
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,182,3219595912799541,3219595912801037
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,183,3219595912801455,3219595912801515
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,184,3219595912801873,3219595912803359
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,185,3219595912803783,3219595912803842
"HIP_RUNTIME_API_EXT","hipFree",2659034,2659034,186,3219595912804237,3219595912805619
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,187,3219595912806967,3219595912807029
"HIP_RUNTIME_API_EXT","hipMalloc",2659034,2659034,188,3219595912808944,3219595912810278
"HIP_RUNTIME_API_EXT","hipSetDevice",2659034,2659034,189,3219595912810766,3219595912810826
"HIP_RUNTIME_API_EXT","hipLaunchKernel",2659034,2659034,190,3219595912811772,3219595912817256
