model	stage_index	stage	elements	max_abs	rms_abs	relative_l2	delta_relative_l2	exact
qwen2.5-0.5b	22	inference.blocks.22	7168	20.947963714599609	0.35230524141398262	0.14024919068640268	-0.071850762246377819	false
qwen2.5-0.5b	23	inference.blocks.23	7168	18.998988151550293	0.5955277884084762	0.19898622267299262	0.058737031986589944	false
qwen2.5-0.5b	24	inference.final_norm	7168	55.753211975097656	1.4779950724834345	0.16463482288286868	-0.034351399790123943	false
qwen2.5-0.5b	25	inference.logits	151936	0.99947009980678558	0.19245532295273582	0.074528421412595885	-0.090106401470272796	false
deepseek-r1-distill-qwen-1.5b	0	inference.blocks.0	12288	0.92675018310546875	0.076554607545465683	0.068692413681243097	0.068692413681243097	false
deepseek-r1-distill-qwen-1.5b	1	inference.blocks.1	12288	27.11279296875	0.51339357094022786	0.02362226422991082	-0.045070149451332281	false
deepseek-r1-distill-qwen-1.5b	2	inference.blocks.2	12288	189.918701171875	2.4312142601661568	0.025290058784907539	0.0016677945549967189	false
deepseek-r1-distill-qwen-1.5b	3	inference.blocks.3	12288	190.276611328125	2.436607450158951	0.025314149344713852	2.4090559806313333e-05	false
deepseek-r1-distill-qwen-1.5b	4	inference.blocks.4	12288	192.04052734375	2.4503251590953834	0.025132511514101501	-0.00018163783061235159	false
deepseek-r1-distill-qwen-1.5b	5	inference.blocks.5	12288	192.231689453125	2.4513482454815683	0.025148904248866729	1.6392734765228317e-05	false
deepseek-r1-distill-qwen-1.5b	6	inference.blocks.6	12288	191.62353515625	2.4475781415305162	0.025052590565578688	-9.631368328804138e-05	false
deepseek-r1-distill-qwen-1.5b	7	inference.blocks.7	12288	191.114013671875	2.4432847701756959	0.024946639606209509	-0.00010595095936917834	false
deepseek-r1-distill-qwen-1.5b	8	inference.blocks.8	12288	190.657470703125	2.439979200224053	0.024816444086655821	-0.00013019551955368788	false
deepseek-r1-distill-qwen-1.5b	9	inference.blocks.9	12288	190.599853515625	2.4395631808128662	0.024757361033316584	-5.9083053339237246e-05	false
deepseek-r1-distill-qwen-1.5b	10	inference.blocks.10	12288	190.85205078125	2.4419653720824113	0.024720359105765945	-3.7001927550638775e-05	false
deepseek-r1-distill-qwen-1.5b	11	inference.blocks.11	12288	190.806884765625	2.4409339275486865	0.024662353476163811	-5.8005629602134179e-05	false
deepseek-r1-distill-qwen-1.5b	12	inference.blocks.12	12288	190.399658203125	2.4366294558793302	0.024578825387254283	-8.3528088909528425e-05	false
deepseek-r1-distill-qwen-1.5b	13	inference.blocks.13	12288	190.73583984375	2.4399223179317362	0.024565987469476518	-1.2837917777765162e-05	false
deepseek-r1-distill-qwen-1.5b	14	inference.blocks.14	12288	190.832275390625	2.4409197563456622	0.024555288397542827	-1.0699071933691073e-05	false
deepseek-r1-distill-qwen-1.5b	15	inference.blocks.15	12288	190.600341796875	2.4395054238492304	0.02453759354825704	-1.7694849285786185e-05	false
deepseek-r1-distill-qwen-1.5b	16	inference.blocks.16	12288	190.633544921875	2.4399297439154659	0.024560502320563771	2.2908772306731023e-05	false
deepseek-r1-distill-qwen-1.5b	17	inference.blocks.17	12288	190.677734375	2.4409086869261252	0.024579838846613453	1.9336526049681252e-05	false
deepseek-r1-distill-qwen-1.5b	18	inference.blocks.18	12288	190.57080078125	2.4404605844385534	0.024577597539945609	-2.2413066678439453e-06	false
deepseek-r1-distill-qwen-1.5b	19	inference.blocks.19	12288	190.328369140625	2.4398527860304604	0.024552467483763569	-2.5130056182039867e-05	false
