
ROCPROFV3 HIP_API SUMMARY:

|                   NAME                   |    DOMAIN    |      CALLS      | DURATION (nsec) | AVERAGE (nsec)  | PERCENT (INC) |   MIN (nsec)    |   MAX (nsec)    |     STDDEV      |
| MEMORY_ALLOCATION_FREE                                                                                                                                                                                                          | MEMORY_ALLOCATION |            1953 |          609189 |       3.119e+02 |      0.200258 |             113 |            1632 |       1.144e+02 |
| microllm::ops::hip::(anonymous namespace)::rms_norm_kernel(float const*, float const*, float*, long, long, float)                                                                                                               | KERNEL_DISPATCH   |             176 |          483471 |       2.747e+03 |      0.158930 |            2325 |            3648 |       2.474e+02 |
| void microllm::ops::hip::(anonymous namespace)::cached_attention_fused_positions_kernel<float>(float const*, float const*, float const*, int const*, int const*, float*, long, long, long, long, long, long, long, long, float) | KERNEL_DISPATCH   |              64 |          454035 |       7.094e+03 |      0.149254 |            5533 |            8780 |       9.162e+02 |
| microllm::runtime::detail::(anonymous namespace)::strided_copy_kernel(std::byte*, std::byte const*, unsigned long, long, microllm::runtime::detail::(anonymous namespace)::Layout)                                              | KERNEL_DISPATCH   |             128 |          428693 |       3.349e+03 |      0.140923 |            1604 |            5012 |       5.525e+02 |
| hipSetDevice                                                                                                                                                                                                                    | HIP_API           |            6203 |          399966 |       6.448e+01 |      0.131480 |              49 |            1389 |       2.682e+01 |
| microllm::ops::hip::(anonymous namespace)::rope_positions_kernel(float const*, int const*, float*, long, long, long, float)                                                                                                     | KERNEL_DISPATCH   |             128 |          378179 |       2.955e+03 |      0.124318 |            1082 |            5332 |       7.230e+02 |
| void microllm::ops::hip::(anonymous namespace)::add_typed_kernel<float>(float const*, float const*, float*, long)                                                                                                               | KERNEL_DISPATCH   |             128 |          344183 |       2.689e+03 |      0.113143 |            1444 |            3448 |       2.895e+02 |
| void microllm::ops::hip::(anonymous namespace)::swiglu_typed_kernel<float>(float const*, float const*, float*, long)                                                                                                            | KERNEL_DISPATCH   |              96 |          328268 |       3.419e+03 |      0.107911 |            1563 |           11827 |       9.668e+02 |
| microllm::ops::hip::(anonymous namespace)::causal_gqa_attention_kernel(float const*, float const*, float const*, float*, float*, long, long, long, long, long, long, float)                                                     | KERNEL_DISPATCH   |              32 |          207437 |       6.482e+03 |      0.068190 |            5533 |            8299 |       7.163e+02 |
| microllm::ops::hip::(anonymous namespace)::rope_kernel(float const*, float*, long, long, long, long, long, float)                                                                                                               | KERNEL_DISPATCH   |              64 |          204387 |       3.194e+03 |      0.067188 |            2406 |            4250 |       4.970e+02 |
| void microllm::ops::hip::(anonymous namespace)::add_rms_norm_kernel<256u>(float const*, float const*, float const*, float*, float*, long, long, float)                                                                          | KERNEL_DISPATCH   |              64 |          192202 |       3.003e+03 |      0.063182 |            2726 |            3288 |       1.527e+02 |
| void microllm::ops::hip::(anonymous namespace)::kv_cache_store_pair_positions_kernel<float>(float const*, float const*, int const*, int const*, float*, float*, long, long, long, long, long, long)                             | KERNEL_DISPATCH   |              64 |          152191 |       2.378e+03 |      0.050029 |            1764 |            2727 |       1.753e+02 |
| microllm::ops::hip::(anonymous namespace)::argmax_last_dim_kernel(float const*, int*, long, long)                                                                                                                               | KERNEL_DISPATCH   |              34 |          120472 |       3.543e+03 |      0.039603 |            3287 |            3969 |       1.656e+02 |
| microllm::ops::hip::(anonymous namespace)::embedding_kernel(float const*, int const*, float*, long, long, long)                                                                                                                 | KERNEL_DISPATCH   |              48 |          103915 |       2.165e+03 |      0.034160 |            1684 |            4851 |       4.622e+02 |
| void microllm::ops::hip::(anonymous namespace)::fill_typed_kernel<float>(float*, long, float)                                                                                                                                   | KERNEL_DISPATCH   |              64 |           98309 |       1.536e+03 |      0.032317 |            1082 |            2647 |       2.195e+02 |
| hipGetLastError                                                                                                                                                                                                                 | HIP_API           |            1810 |           97070 |       5.363e+01 |      0.031910 |              40 |            1168 |       3.222e+01 |
| MEMORY_COPY_HOST_TO_DEVICE                                                                                                                                                                                                      | MEMORY_COPY       |               8 |           66593 |       8.324e+03 |      0.021891 |            7778 |            9060 |       5.095e+02 |
| hipDeviceSynchronize                                                                                                                                                                                                            | HIP_API           |               2 |            1846 |       9.230e+02 |      0.000607 |             582 |            1264 |       4.822e+02 |

